"Category","Design ID","Element ID","Exact Colour","Name","Colour Family","Price"
"Beams","60484","4552348","MED. ST-GREY","T-BEAM 3X3 W/HOLE Ø4.8","Grey","£0.19"
"Beams","60484","4552349","DK. ST. GREY","T-BEAM 3X3 W/HOLE Ø4.8","Grey","£0.19"
"Beams","60484","6072627","BR.YEL","T-BEAM 3X3 W/HOLE Ø4.8","Yellow","£0.24"
"Beams","64289","4645730","DK. ST. GREY","TECHNIC 9M BEAM","Grey","£0.32"
"Beams","64289","4645732","BLACK","TECHNIC 9M BEAM","Black","£0.31"
"Beams","64289","4645733","BR.RED","TECHNIC 9M BEAM","Red","£0.32"
"Beams","64289","6001831","WHITE","TECHNIC 9M BEAM","White","£0.31"
"Beams","64289","6102449","MED. ST-GREY","TECHNIC 9M BEAM","Grey","£0.31"
"Beams","64289","6115616","BR.YEL","TECHNIC 9M BEAM","Yellow","£0.32"
"Beams","64289","6115617","BR.BLUE","TECHNIC 9M BEAM","Blue","£0.35"
"Beams","64289","6115618","DK.GREEN","TECHNIC 9M BEAM",,"£0.40"
"Beams","64289","6135086","BR.ORANGE","TECHNIC 9M BEAM",,"£0.36"
"Beams","64290","4534909","BLACK","MISENTRY","Black",
"Beams","64290","4534910","MED. ST-GREY","MISENTRY","Grey",
"Beams","64290","4534911","BR.YEL-GREEN","MISENTRY",,
"Beams","64290","4534912","BR.YEL","MISENTRY","Yellow",
"Beams","64290","4534913","BR.RED","MISENTRY","Red",
"Beams","64290","4534914","DK. ST. GREY","MISENTRY","Grey",
"Beams","64290","4562805","BR.RED","TECHNIC 11M BEAM","Red","£0.35"
"Beams","64290","4603472","DK. ST. GREY","TECHNIC 11M BEAM","Grey","£0.35"
"Beams","64290","4611705","MED. ST-GREY","TECHNIC 11M BEAM","Grey","£0.35"
"Beams","64290","6028103","WHITE","TECHNIC 11M BEAM","White","£0.35"
"Beams","64290","6028106","BRICK-YEL","TECHNIC 11M BEAM",,
"Beams","64290","6028107","BR.YEL","TECHNIC 11M BEAM","Yellow","£0.35"
"Beams","64290","6029578","BLACK","TECHNIC 11M BEAM","Black","£0.34"
"Beams","64290","6057859","BR.BLUE","TECHNIC 11M BEAM","Blue","£0.42"
"Beams","64290","6097390","BR.GREEN","TECHNIC 11M BEAM",,
"Beams","64290","6135085","BR.ORANGE","TECHNIC 11M BEAM",,"£0.40"
"Beams","64290","6151077","EARTH BLUE","TECHNIC 11M BEAM","Blue","£0.43"
"Beams","64290","6167321","MD.BLUE","TECHNIC 11M BEAM","Blue","£0.42"
"Beams","64871","4542573","BLACK","TECHNIC 15M BEAM","Black","£0.43"
"Beams","64871","4542574","BR.YEL-GREEN","TECHNIC 15M BEAM",,
"Beams","64871","4542575","BR.RED","TECHNIC 15M BEAM","Red","£0.46"
"Beams","64871","4542576","DK. ST. GREY","TECHNIC 15M BEAM","Grey","£0.46"
"Beams","64871","4542577","MED. ST-GREY","TECHNIC 15M BEAM","Grey","£0.44"
"Beams","64871","4542578","WHITE","TECHNIC 15M BEAM","White","£0.43"
"Beams","64871","4542579","BR.YEL","TECHNIC 15M BEAM","Yellow","£0.46"
"Beams","64871","4545165","BRICK-YEL","TECHNIC 15M BEAM",,
"Beams","64871","4548305","LGH. ST. GREY","TECHNIC 15M BEAM","Grey",
"Beams","64871","6057799","BR.BLUE","TECHNIC 15M BEAM","Blue","£0.68"
"Beams","64871","6135083","BR.ORANGE","TECHNIC 15M BEAM",,"£0.50"
"Beams","64871","6151070","EARTH BLUE","TECHNIC 15M BEAM","Blue","£0.55"
"Beams","64871","6179616","RED. BROWN","TECHNIC 15M BEAM",,
