"ItemNo","ItemDescr","ColourLikeDescr","ColourDescr","MaingroupDescr","Price","DesignId"
4158912,"BRICK CORNER 1X2X2","Blue","SAND BLUE","Bricks","-1.00",2357
4164442,"BRICK CORNER 1X2X2","","DK.ORA","Bricks","-1.00",2357
4211109,"BRICK CORNER 1X2X2","Grey","DK. ST. GREY","Bricks","0.12",2357
4211200,"BRICK CORNER 1X2X2","","RED. BROWN","Bricks","0.12",2357
4211349,"BRICK CORNER 1X2X2","Grey","MED. ST-GREY","Bricks","0.12",2357
4264578,"BRICK CORNER 1X2X2","Blue","EARTH BLUE","Bricks","-1.00",2357
4541379,"BRICK CORNER 1X2X2","Red","NEW DARK RED","Bricks","0.16",2357
4558606,"BRICK CORNER 1X2X2","Blue","BR.BLUE","Bricks","0.13",2357
6000880,"BRICK CORNER 1X2X2","Blue","MD.BLUE","Bricks","0.16",2357
6034175,"BRICK CORNER 1X2X2","Yellow","FL. YELL-ORA","Bricks","0.16",2357
6052877,"BRICK CORNER 1X2X2","Blue","MEDIUM AZUR","Bricks","-1.00",2357
6097870,"BRICK CORNER 1X2X2","","LAVENDER","Bricks","0.16",2357
6107187,"BRICK CORNER 1X2X2","","MEDIUM LAVENDER","Bricks","0.20",2357
6109979,"BRICK CORNER 1X2X2","Purple","BR.RED-VIOL.","Bricks","0.22",2357
6173741,"BRICK CORNER 1X2X2","Purple","BR. PURPLE","Bricks","0.20",2357
6176193,"BRICK CORNER 1X2X2","","M. LILAC","Bricks","0.20",2357
4113022,"WALL ELEMENT 1X2X3","White","WHITE","Bricks, Special","-1.00",2362
4113023,"WALL ELEMENT 1X2X3","Grey","GREY","Bricks, Special","-1.00",2362
4113027,"WALL ELEMENT 1X2X3","Black","BLACK","Bricks, Special","-1.00",2362
4129976,"WALL ELEMENT 1X2X3","Grey","DK.GREY","Bricks, Special","-1.00",2362
4211577,"WALL ELEMENT 1X2X3","Grey","MED. ST-GREY","Bricks, Special","-1.00",2362
4226218,"WALL ELEMENT 1X2X3","","RED. BROWN","Bricks, Special","-1.00",2362
