"designId","name","category"
2730,"TECHNIC BRICK 1X10 Ø4.9","Bricks, special ø4.85 hole and connecting bush"
2736,"BALL W. CROSS AXLE","Bricks, Special Circles And Angles"
2741,"TECHNIC STEERING WHEEL","Bricks, Special Circles And Angles"
2743,"WING SECTION, FRONT","Bricks, Special"
2744,"WING SECTION, REAR","Bricks, Special"
2748,"LEGO-TF 16X32 BASISPLATE","Bricks, Special"
2780,"CONNECTOR PEG W. FRICTION","Connectors"
2786,"WEDGEBELT WHEEL Ø24","Bricks, Special Circles And Angles"
2815,"TYRE FOR WEDGE-BELT WHEEL","Bricks, Special Circles And Angles"
2817,"TECHNIC DOUB. BEARING PL. 2X2","Plates, special"
2819,"STEERING WHEEL Ø24","Bricks, Special Circles And Angles"
2823,"TECHNIC FORK","Bricks, Special"
2850,"PLASTIC MOTOR, CYLINDER","Transportation means, vehicles"
2851,"PLASTIC MOTOR, PISTON","Bricks, Special Circles And Angles"
2852,"PLASTIC MOTOR, MAIN ROD","Bricks, Special Circles And Angles"
2853,"PLASTIC MOTOR, CRANK/CROSS","Bricks, Special Circles And Angles"
2854,"PLASTIC MOTOR, CRANK","Bricks, Special Circles And Angles"
2855,"TECHNIC TURN TABLE, TOP","Bricks, Special"
2856,"TECHNIC TURN TABLE, BOTTOM","Bricks, Special"
2866,"CONTROL SWITCH","Bricks, Special"
2871,"MOTORBOGIE, ORNAMENT","Bricks, Special"
2876,"ROOF FRONT 6X6X1","Bricks, Special"
2877,"PROFILE BRICK 1X2","Bricks"
2878,"BEARING ELEMENT 3X6","Transportation means, trains"
2902,"TYRE Ø81.6 X 15","Bricks, Special Circles And Angles"
2903,"RIM Ø61.6 X 13.6","Bricks, Special Circles And Angles"
2904,"FRONT FORK","Bricks, Special"
2905,"TRIANGLE","Bricks, Special Circles And Angles"
2907,"GYRO-BALL","Bricks, Special Circles And Angles"
2919,"LIGHT GUIDE 2X4X1","Bricks, Special"
2921,"BRICK 1X1 W. HANDLE","Bricks, special"
2922,"PANTOGRAPH PLATE 1X4","Bricks, Special"
2924,"2F TRAINFRONT 2X6X5 1/3","Bricks, Special"
2926,"BEARING PLATE 1X4, DOUBLE","Wheel base"
2928,"LIGHT GUIDE, CASING 2X4X1","Bricks, Special"
2951,"FRONT SHOVEL","Bricks, Special Circles And Angles"
2986,"WEDGEBELT WHEEL Ø11.2","Bricks, Special Circles And Angles"
2991,"FENDERTIMBER 1X2X2","Bricks, Special"
2994,"RIM Ø24 X 14","Bricks, Special Circles And Angles"
3001,"BRICK 2X4","Bricks"
3002,"BRICK 2X3","Bricks"
3003,"BRICK 2X2","Bricks"
3004,"BRICK 1X2","Bricks"
3005,"BRICK 1X1","Bricks"
3006,"BRICK 2X10","Bricks, Special"
3007,"BRICK 2X8","Bricks, Special"
3008,"BRICK 1X8","Bricks"
3009,"BRICK 1X6","Bricks"
3010,"BRICK 1X4","Bricks"
3011,"DUPLO BRICK 2X4","Bricks"
3020,"PLATE 2X4","Plates"
3021,"PLATE 2X3","Plates"
3022,"PLATE 2X2","Plates"
3023,"PLATE 1X2","Plates"
3024,"PLATE 1X1","Plates"
3026,"PLATE 6X24","Bricks, Special"
3027,"PLATE 6X16","Plates"
3028,"PLATE 6X12","Plates"
3029,"PLATE 4X12","Plates"
3030,"PLATE 4X10","Plates"
3031,"PLATE 4X4","Plates"
3032,"PLATE 4X6","Plates"
3033,"PLATE 6X10","Plates"
3034,"PLATE 2X8","Plates"
3035,"PLATE 4X8","Plates"
3036,"PLATE 6X8","Plates"
3037,"ROOF TILE 2X4/45°","Bricks, with slope"
3038,"ROOF TILE 2X3/45°","Bricks, Special"
3039,"ROOF TILE 2X2/45°","Bricks, with slope"
3040,"ROOF TILE 1X2/45°","Bricks, with slope"
3041,"RIDGED TILE 2X4/45°","Bricks, Special"
3043,"RIDGED TILE 2X2/45°","Bricks, Special"
3044,"RIDGED TILE 1X2/45°","Bricks, Special"
3045,"CORNER BRICK 2X2/45° OUTSIDE","Bricks, with slope"
3046,"CORNER BRICK 2X2/45° INSIDE","Bricks, Special"
3048,"END RIDGED TILE 1X2/45°","Bricks, Special"
3049,"ATTIC 1X2/45°","Bricks, Special"
3062,"ROUND BRICK 1X1","Bricks, special circles and angles"
3063,"CURVED BRICK 2 KNOBS","Bricks, Special"
3065,"BRICK 1X2 WITHOUT PIN","Bricks"
3066,"BRICK 1X4 WITHOUT PINS","Bricks, Special"
3068,"FLAT TILE 2X2","Plates"
3069,"FLAT TILE 1X2","Plates"
3070,"FLAT TILE 1X1","Plates"
3139,"TYRE D8","Bricks, Special"
3176,"COUPLING PLATE 2X2","Plates, special"
3183,"PLATE 1X4 W. BALL CUP","Bricks, Special"
3184,"COUPLING PLATE 1X4 W. BALL","Bricks, Special"
3185,"FENCE 1X4X2","Fences and ladders"
3188,"DOOR 1X3X2 RIGHT","Bricks, Special"
3189,"DOOR 1X3X2 LEFT","Bricks, Special"
3228,"STRAIGHT RAIL","Bricks, Special"
3245,"BRICK 1X2X2","Bricks"
3297,"ROOF TILE 3X4/25°","Bricks, Special"
3298,"ROOF TILE 2X3/25°","Bricks, with slope"
3299,"RIDGED TILE 2X4/25°","Bricks, Special"
3300,"RIDGED TILE 2X2/25°","Bricks, Special"
3307,"BRICK W. BOW 1X6X2","Bricks, Special"
3308,"BRICK W. BOW 1X8X2","Bricks, Special"
3403,"TURN TABLE, LOWER PART","Bricks, Special"
3404,"TURN TABLE, UPPER PART","Bricks, Special"
3437,"DUPLO BRICK 2X2","Bricks"
3455,"BRICK W. BOW 1X6","Bricks, Special"
3456,"PLATE 6X14","Plates"
3460,"PLATE 1X8","Plates"
3464,"HUB FOR FORK","Bricks, Special"
3470,"FOULIIFEROUS TREE H64","Bricks, Special"
3471,"SPRUCE TREE H64","Bricks, Special"
3475,"JET ENGINE","Bricks, Special"
3482,"SPOKED HUG  D17MM","Bricks, Special"
3483,"TYRE LOW NARROW Ø17 MM","Bricks, Special"
3581,"SHUTTERHOLDER 1X1X2","Bricks, Special"
3587,"RUDDER","Bricks, Special"
3622,"BRICK 1X3","Bricks"
3623,"PLATE 1X3","Plates"
3624,"MINI CAP","Figure, head clothing"
3626,"MINI HEAD","Figure, heads and masks"
3629,"MINI COWBOYHAT","Bricks, Special"
3633,"FENCE 1X4X1","Fences and ladders"
3634,"TRACTOR TYRE Ø17/Ø43","Bricks, Special"
3639,"PLATE 2X4 CROSS COUPLING","Bricks, Special"
3640,"PLATE 2X4 ACROSS HINGE","Bricks, Special"
3641,"TYRE HIGH NARROW Ø15 X 6","Bricks, Special"
3647,"GEAR WHEEL T=8, M=1","Bricks, Special Circles And Angles"
3648,"GEAR WHEEL Z24","Bricks, Special Circles And Angles"
3649,"GEAR WHEEL 40T","Bricks, Special Circles And Angles"
3650,"CROWN- AND GEAR WHEEL Z24","Bricks, Special Circles And Angles"
3659,"BRICK W. BOW 1X4","Bricks with bows and arches"
3660,"ROOF TILE 2X2/45° INV.","Bricks, with slope"
3664,"DUPLO BRICK 2X2X2, R=15","Bricks"
3665,"ROOF TILE 1X2 INV.","Bricks, with slope"
3666,"PLATE 1X6","Plates"
3673,"CONNECTOR PEG","Connectors"
3675,"CORNER OUTSIDE 3X3/25°","Bricks, Special"
3676,"ROOF TILE CORN. INVERT.2X2/45°","Bricks, Special"
3678,"ROOF TILE 2X2X2/65 DEG.","Bricks, Special"
3679,"TURN PLATE 2X2, UPPER PART","Functional elements"
3680,"TURN PLATE 2X2, LOWER PART","Functional elements"
3685,"ROOF TILE CORNER 2X2X3/73°","Bricks, Special"
3688,"PYRAMID BRICK 2X2X2/73°","Bricks, Special"
3700,"TECHNIC BRICK 1X2, Ø4.9","Bricks, special ø4.85 hole and connecting bush"
3701,"TECHNIC BRICK 1X4, Ø4,9","Bricks, special ø4.85 hole and connecting bush"
3702,"TECHNIC BRICK 1X8","Bricks, special ø4.85 hole and connecting bush"
3703,"BRICK 1X16, Ø4,9","Bricks, special ø4.85 hole and connecting bush"
3705,"CROSS AXLE 4M","Connectors"
3706,"CROSS AXLE 6M","Connectors"
3707,"CROSS AXLE 8M","Connectors"
3708,"CROSS AXLE 12M","Bricks, Special Circles And Angles"
3709,"PLATE 2X4, 3XØ4.9","Plates, special"
3710,"PLATE 1X4","Plates"
3711,"CHAIN LINK M=1","Bricks, Special Circles And Angles"
3729,"PLATE 2X2 W. BALL","Bricks, Special"
3730,"PLATE 2X2 W. BALL SOCKET","Bricks, Special"
3736,"STEERING WHEEL/CRANK","Bricks, Special Circles And Angles"
3737,"CROSS AXLE 10M","Connectors"
3738,"PLATE 2X8 W. HOLES","Bricks, Special"
3741,"STALK","Botanic"
3742,"FLOWERHEAD","Botanic"
3743,"TOOTHED BAR M=1, Z=10","Bricks, Special"
3747,"ROOF TILE 2X3/25° INV.","Bricks, with slope"
3754,"BRICK 1X6X5 H","Bricks, Special"
3755,"BRICK 1X3X5","Bricks, Special"
3788,"MUDGUARD 2X4","Bricks, Special"
3794,"PLATE 1X2 W. 1 KNOB","Bricks, Special"
3795,"PLATE 2X6","Plates"
3811,"LEGO -TF 32X32 BASIS PLATE","Bricks, Special"
3821,"DOOR 1X3, RIGHT","Bricks, Special"
3822,"LEFT DOOR 1X3","Bricks, Special"
3823,"WINDSCREEN 2X4X2","Windscreens and cockpits"
3830,"HINGE 1X2 UPPER PART","Bricks, Special"
3831,"HINGE 1X2 LOWER PART","Bricks, Special"
3832,"PLATE 2X10","Plates"
3833,"MINI CONTRACTOR'S HELMET","Figure, head clothing"
3834,"MINI FIREMAN HELMET","Bricks, Special"
3835,"MINI FIREMAN'S AXE","Figure accessories in hand"
3836,"MINI BROOM","Figure accessories in hand"
3837,"MINI SHOVEL","Figure accessories in hand"
3838,"MINI OXYGEN BOTTLES","Figure accessories, upper and lower body"
3839,"MINI HANDLE","Plates, special"
3840,"MINI CAPE","Bricks, Special"
3841,"MINI PICKAXE","Figure accessories in hand"
3844,"MINI KNIGHTS HELMET","Bricks, Special"
3846,"MINI SHIELD","Bricks, Special"
3847,"MINI SWORD","Bricks, Special"
3848,"MINI BATTLE AXE","Bricks, Special"
3849,"MINI LANCE","Bricks, Special"
3852,"HAIR BRUSH","Bricks, Special"
3853,"WINDOW FRAME 4X3","Bricks, Special"
3854,"INSIDE FRAME 2X3","Bricks, Special"
3856,"SHUTTER 2X3","Bricks, Special"
3861,"DOOR 4X5","Bricks, Special"
3865,"BASE PLATE 8X16 BRICK-YELLOW","Bricks, Special"
3873,"JOINT FOR GREASE BAND","Bricks, Special Circles And Angles"
3878,"TOP HAT - MINI FIGURE","Bricks, Special"
3894,"BRICK 1X6, Ø4,9","Bricks, special ø4.85 hole and connecting bush"
3895,"BRICK 1X12, Ø4,9","Bricks, special ø4.85 hole and connecting bush"
3898,"MINI BAKER'S HAT","Bricks, Special"
3899,"MUG","Figure accessories in hand"
3900,"SIGN - STOP","Figure accessories in hand"
3901,"MINI WIG MAN","Figure, wigs"
3933,"WING 4X8/23° (LEFT)","Bricks, Special"
3934,"WING 4X8/23° (RIGHT)","Bricks, Special"
3937,"ROCKER BEARING 1X2","Functional elements"
3938,"PLATE 1X2 (ROCKING)","Functional elements"
3940,"UNDERCARRIAGE 2X2X2","Bricks, Special"
3942,"NOSE CONE 2X2X2","Bricks, Special"
3943,"ROCKET STEP 4X4X2","Bricks, Special"
3956,"PLATE 2X2 ANGLE","Bricks, Special"
3957,"WHIP/AERIAL","Signs, flags and poles"
3958,"PLATE 6X6","Plates"
3959,"BUTT","Bricks, Special"
3960,"ROUND PLATE Ø32X6.4","Plates, special circles and angles"
3961,"ROUND PLATE Ø64X9.6","Bricks, Special"
3962,"WALKIE-TALKIE","Bricks, Special"
3963,"STEERING NOZZLE","Bricks, Special"
3966,"DUPLO BRICK 2X2 W. SNAP","Bricks"
4006,"SCREWDRIVER/SPANNER","Figure accessories in hand"
4019,"GEAR WHEEL Z=16, M=1","Bricks, Special Circles And Angles"
4022,"BUFFER/CLUTCH","Bricks, Special"
4025,"BOGIE PLATE 4X6","Bricks, Special"
4032,"PLATE 2X2 ROUND","Plates, special circles and angles"
4033,"FRAME/TRAIN WINDOW 1X4X3","Bricks, Special"
4034,"TRAIN WINDOW GLASS 4X3","Bricks, Special"
4035,"FRAME F. TRAIN WINDOW 1X2X3","Bricks, Special"
4066,"DUPLO BRICK 1X2X2","Bricks"
4070,"ANGULAR BRICK 1X1","Bricks, Special"
4079,"SEAT 2X2X2","Interior"
4080,"TRUCK BODY 4X6X2","Bricks, Special"
4081,"LAMP HOLDER","Plates, special"
4083,"HANGER 1X4X2","Fences and ladders"
4085,"PLATE 1X1 W. HOLDER","Bricks, Special"
4088,"FABULAND RADIATOR FRONT 1X4X2","Bricks, Special"
4093,"CHASSIS 6X28X6.4","Bricks, Special"
4095,"STANDARD Ø3.18 X 53","Bricks, Special"
4130,"DOOR FRAME 2X4X5","Bricks, Special"
4131,"DOOR 4X5","Bricks, Special"
4132,"WINDOW FRAME 2X4X3","Bricks, Special"
4133,"WINDOW 4X3","Bricks, Special"
4150,"FLAT TILE 2X2, ROUND","Bricks, Special"
4151,"GRID PLATE 8X8","Plates, special"
4161,"ROOF TILE 3X3/25°","Bricks, Special"
4162,"FLAT TILE 1X8","Plates"
4175,"LADDER 1X2X2","Bricks, Special"
4176,"WINDSCREEN 2X6X2 TRANSPARENCY","Bricks, Special"
4181,"DOOR, LEFT 1X4X5","Bricks, Special"
4182,"DOOR, RIGHT 1X4X5","Bricks, Special"
4183,"GLASS FOR DOOR","Bricks, Special"
4185,"WEDGE-BELT WHEEL Ø24","Bricks, Special Circles And Angles"
4186,"BASE PLATE 48X48","Bricks, Special"
4196,"DUPLO PLATE 6X12","Bricks"
4197,"DUPLO BOW 2X6X2","Bricks"
4199,"DUPLO BRICK 2X8","Bricks"
4202,"BRICK 4X12","Bricks, Special"
4207,"LADDER","Bricks, Special"
4208,"HOSE DRUM","Bricks, Special"
4209,"DRUM HOLDER 2X4X2","Bricks, Special"
4210,"NOZZLE","Bricks, Special"
4212,"CHASSIS 4X10","Bricks, Special"
4215,"WALL ELEMENT 1X4X3","Bricks, Special"
4216,"BRICK 1X2 W. GROOVE","Bricks, special"
4217,"BRICK 1X14 W. GROOVE","Bricks, Special"
4218,"LAMELLA FOR ROLLING GATE","Bricks, Special"
4219,"STOP LAMELLA FOR ROLLING GATE","Bricks, Special"
4229,"SUSPENSION ELEM. W/2X2 KNOBS","Bricks, Special"
4237,"CHEST OF DRAWERS","Bricks, Special"
4266,"TECHNIC HUB Ø30.4 X 20","Bricks, Special"
4268,"DUPLO PLATE 24X24 DARK GREEN","Bricks"
4274,"CONNECTOR PEG W. KNOB","Connectors"
4275,"HINGE PLATE 1X2 1/2","Bricks, Special"
4276,"HINGE PLATE 1X2 1/2","Bricks, Special"
4282,"PLATE 2X16","Plates"
4284,"WINDSCREEN INVERTED 2X4X2","Bricks, Special"
4285,"PARABOLA Ø48","Bricks, Special"
4286,"ROOF TILE 1X3/25°","Bricks, with slope"
4287,"ROOF TILE 1X3/25° INV.","Bricks, with slope"
4289,"LANTERN MAST 2X2X3","Bricks, Special"
4315,"HINGE PLATE 1X4","Bricks, Special"
4328,"PIPE WRENCH","Bricks, Special"
4330,"SPADE","Bricks, Special"
4332,"FABULAND BROOM","Bricks, Special"
4341,"FABULAND POT","Bricks, Special"
4342,"WHITE BREAD","Bricks, Special"
4345,"MAILBOX, CASING 2X2X2","Interior"
4346,"MAILBOX, FRONT 2X2","Interior"
4349,"MEGAPHONE","Figure accessories in hand"
4360,"CAMERA","Figure accessories in hand"
4375,"DUPLO REVOLVING BASE","Bricks"
4376,"DUPLO RADAR ANTENNA","Bricks"
4424,"FABULAND TUB","Bricks, Special"
4429,"WINE PITCHER","Bricks, Special"
4433,"LANDING NET","Bricks, Special"
4444,"WALL ELEMENT W. WINDOW 1X5X6","Bricks, Special"
4445,"ROOF TILE 2X8/45°","Bricks, Special"
4447,"FRAME SKYLIGHT 4X4X3/45°","Bricks, Special"
4448,"GLASS F. SKYLIGHT 4X4X3/45°","Bricks, Special"
4449,"MINI SUITCASE","Figure accessories in hand"
4460,"ROOF TILE 1X2X3/73°","Bricks, with slope"
4476,"SLANTING STANDARD 2X4/2X2","Bricks, Special"
4477,"PLATE 1X10","Plates"
4485,"MINI U.S. CAP","Bricks, Special"
4488,"BEARING ELEMENT 2X2, SINGLE","Bricks, Special"
4489,"WHEEL WITH SPOKES Ø33.8","Bricks, Special"
4490,"BRICK W. BOW 1X3","Bricks with bows and arches"
4491,"HORSE, SADDLE","Bricks, Special"
4495,"STREAMER","Signs, flags and poles"
4497,"SPEAR","Figure, weapons"
4498,"QUIVER","Bricks, Special"
4499,"BOW","Bricks, Special"
4503,"MINI TOURNAMENT HELMET","Bricks, Special"
4505,"FARMER'S CAP","Bricks, Special"
4509,"ROOF TILE 6X6/2X25°","Bricks, Special"
4510,"PLATE 1X8 WITH RAIL","Plates, special"
4511,"SLIDING GATE 6X5","Bricks, Special"
4515,"RAMP 6X8","Bricks, Special"
4518,"MAST FOR FORK LIFT","Bricks, Special"
4519,"CROSS AXLE 3M","Connectors"
4522,"HAMMER","Figure accessories in hand"
4523,"PANNIER","Bricks, Special"
4528,"PAN","Figure accessories in hand"
4529,"POT","Figure accessories in hand"
4530,"MINI WIG, GIRL","Bricks, Special"
4532,"CUPBOARD 2X3X2","Bricks, Special"
4533,"CUPBOARD, DOOR 3X2","Interior"
4536,"DRAWER","Interior"
4542,"DUPLO GRAB FOR CRANE","Bricks"
4543,"DUPLO ROOF FOR CABIN","Bricks"
4544,"DUPLO CABIN","Bricks"
4550,"DUPLO COW-CATCHER","Bricks"
4588,"ROCKET STEP SMALL 1X1","Bricks, Special"
4589,"NOSE CONE SMALL 1X1","Bricks, Special"
4590,"PLATE 1X4 SPLIT-LEVEL","Bricks, Special"
4591,"ROCKET STEP 2X2X2","Bricks, Special"
4594,"WINDSCREEN 2X4X2 VERTICAL","Bricks, Special"
4595,"MOTOR 1X2X2/3","Plates, special"
4596,"PLATE 1X2X4 W. TUBE","Bricks, Special"
4597,"BOTTOM 6X6X1 1/3","Bricks, Special"
4598,"SEAT 2X3X2","Bricks, Special"
4599,"TAP Ø4.9/6.4","Interior"
4600,"BEARING ELEMENT 2X2, DOUBLE","Wheel base"
4617,"FABULAND PROPELLER F. AEROPL.","Bricks, Special"
4623,"PLATE W. HOOK 1X2","Bricks, Special"
4624,"RIM NARROW W. HOLE Ø8","Tyres and rims for snap ø3,2"
4654,"DUPLO WINCH, STAND","Bricks"
4657,"DUPLO SHIP WHEEL HOLDER","Bricks"
4658,"DUPLO SHIP WHEEL","Bricks"
4662,"DUPLO CRANE HOOK","Bricks"
4672,"DUPLO PLATE 4X8","Bricks"
4697,"T-PIECE","Functional elements, others"
4714,"STRETCHER 2X6","Bricks, Special"
4715,"UNDERFRAME FOR STRETCHER","Bricks, Special"
4716,"WORM","Functional elements, gear wheels and racks"
4719,"MINI BICYCLE FRAME","Bricks, Special"
4727,"FLOWER, STALK","Botanic"
4728,"FLOWER","Bricks, Special"
4729,"BRICK 2X2 W. VERTICAL SNAP","Bricks, Special"
4733,"BRICK 1X1 W. 4 KNOBS","Bricks, special"
4735,"HOLDER 16 MM","Connectors"
4736,"MINI PACKAGE HOLDER","Bricks, Special"
4738,"CHEST 2X4","Interior"
4739,"CHEST LID 2X4","Bricks, Special"
4740,"PARABOLA Ø16","Plates, special circles and angles"
4742,"CONE Ø32/Ø16","Bricks, Special"
4743,"BRICK W. ARCH 2X8X3","Bricks, Special"
4744,"ARCH 2X4X2","Bricks, Special"
4790,"FABULAND SHIP WHEEL","Bricks, Special"
4794,"OAR","Bricks, Special"
4809,"DUPLO WINDOW 2X4X3","Bricks"
4828,"DUPLO DISC HARROW, CHASSIS","Bricks"
4854,"ROOF TILE 4X4/45° INV.","Bricks, Special"
4855,"ROOF TILE 4X2/18° INV.","Bricks, Special"
4856,"ROOF TILE 4X6/18° INV.","Bricks, Special"
4858,"ROOF TILE 4X4/18°","Bricks, Special"
4861,"ROOF TILE 3X4, 25°/45°","Bricks, Special"
4862,"PANE FOR WALL ELEMENT","Bricks, Special"
4863,"WALL ELEMENT 1X4X2 W. WINDOWS","Bricks, Special"
4864,"WALLELEMENT 1X2X2","Bricks, Special"
4865,"WALL ELEMENT 1X2X1","Frames, windows, walls and doors"
4867,"RUDDER 4X7X4 1/3","Bricks, Special"
4868,"JET ENGINE","Bricks, Special"
4869,"JET ENGINE TURBINE","Bricks, Special"
4870,"HOLDER F. AEROPLANE WHEEL","Bricks, Special"
4871,"ROOF TILE 4X2/45° INV.","Bricks, with slope"
4872,"INVERTED WINDSCREEN 3X4X4","Bricks, Special"
4882,"DUPLO WATERING TROUGH","Bricks"
4885,"DUPLO ARMCHAIR","Bricks"
4886,"DUPLO COT","Bricks"
4890,"DUPLO DRAWER ELEMENT 2X2X28.8","Bricks"
4891,"DUPLO DRAWER","Bricks"
