"replacementBrickService","Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price","pickABrickService"
true,"Bricks, Special","Grey","15535","6179186","MED. ST-GREY","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.14",
true,"Bricks, Special","White","15536","6078201","WHITE","TRAIN FRONT 14X6X7 1/3","£1.46",
true,"Bricks, Special",,"15537","6078204","TR.BROWN","GLASS FOR TRAIN FRONT 14X6X7 1/3","£2.11",
true,"Bricks, Special","Grey","15540","6068029","DK. ST. GREY","LANDING GEAR 1X6 W. HOLE Ø4.85","£0.29",
true,"Bricks, Special",,"15540","6101238","BRICK-YEL","LANDING GEAR 1X6 W. HOLE Ø4.85",,
true,"Bricks, Special",,"15547","6051377","SILVER INK","MOTOR 2X2X1 1/3 NO.""1000""",,
true,"Bricks, Special",,"15551","6051385","SILVER INK","ROCKET POINT 1X1, NO ""1000""","£0.66",
true,"Bricks, Special Circles And Angles",,"15555","6051386","SILVER INK","TUBE W/DOUBLE Ø4.85 NO. ""1000""","£0.38",
true,"Bricks, Special Circles And Angles",,"15555","6204673","SILVER INK","TUBE W/DOUBLE Ø4.85 NO. ""1000""",,
true,"Bricks, Special",,"15560","6051417","GOLD INK","ROYAL CROWN, NR. ""1100""","£1.79",
true,"Bricks, Special",,"15561","6051422","SILVER INK","LATTICE PLATE 1X2 ""NO. 1000""","£0.22",
true,"Bricks, Special",,"15570","6051507","SILVER INK","ROUND PLATE 1X1 ""NO. 1000""","£0.13",
true,"Bricks, with slope","Black","15571","6051508","[""Black"",""BLACK""]","END RIDGED TILE 1X2/45°","[""£0.06"",""£0.11""]",true
true,"Bricks, with slope","Red","15571","6075074","[""Bright red"",""BR.RED""]","END RIDGED TILE 1X2/45°","[""£0.10"",""£0.11""]",true
true,"Bricks, with slope","Grey","15571","6075075","MED. ST-GREY","END RIDGED TILE 1X2/45°","£0.11",
true,"Bricks, with slope",,"15571","6075077","EARTH GREEN","END RIDGED TILE 1X2/45°","£0.20",
true,"Bricks, with slope",,"15571","6075079","W.GOLD","END RIDGED TILE 1X2/45°","£0.13",
true,"Bricks, with slope",,"15571","6075084","BR.ORANGE","END RIDGED TILE 1X2/45°","£0.20",
true,"Bricks, with slope","Yellow","15571","6075085","BR.YEL","END RIDGED TILE 1X2/45°","£0.14",
true,"Bricks, with slope","Grey","15571","6076203","DK. ST. GREY","END RIDGED TILE 1X2/45°","£0.11",
true,"Bricks, with slope","Yellow","15571","6078294","FL. YELL-ORA","END RIDGED TILE 1X2/45°","£0.14",
true,"Bricks, with slope","Blue","15571","6078456","BR.BLUE","END RIDGED TILE 1X2/45°",,
true,"Bricks, with slope","White","15571","6097801","WHITE","END RIDGED TILE 1X2/45°","£0.12",
true,"Bricks, with slope","Purple","15571","6133697","BR.RED-VIOL.","END RIDGED TILE 1X2/45°","£0.16",
true,"Bricks, with slope","Blue","15571","6137764","AQUA","END RIDGED TILE 1X2/45°","£0.13",
true,"Bricks, with slope","Blue","15571","6151689","DARK AZUR","END RIDGED TILE 1X2/45°","£0.14",
true,"Bricks, with slope",,"15571","6185990","M. LILAC","END RIDGED TILE 1X2/45°","£0.14",
true,"Plates","Grey","15573","6066097","[""Medium stone grey"",""MED. ST-GREY""]","PLATE 1X2 W. 1 KNOB","[""£0.06"",""£0.05""]",true
true,"Plates","Red","15573","6092565","[""Bright red"",""BR.RED""]","PLATE 1X2 W. 1 KNOB","[""£0.06"",""£0.05""]",true
true,"Plates","Grey","15573","6092572","[""Dark stone grey"",""DK. ST. GREY""]","PLATE 1X2 W. 1 KNOB","[""£0.06"",""£0.05""]",true
true,"Plates","Blue","15573","6092582","[""Bright blue"",""BR.BLUE""]","PLATE 1X2 W. 1 KNOB","[""£0.06"",""£0.05""]",true
true,"Plates","Yellow","15573","6092583","[""Bright yellow"",""BR.YEL""]","PLATE 1X2 W. 1 KNOB","[""£0.06"",""£0.05""]",true
